"","id","status"
"1",1,"street closed"
"2",2,"street closed"
"3",3,"street closed"
"4",4,"street closed"
"5",5,"duplicate"
"6",6,"street closed"
"7",7,"street closed"
"8",8,"street closed"
"9",9,"street closed"
"10",10,"street open"
"11",11,"street closed"
"12",12,"street open"
"13",13,"street closed"
"14",14,"street closed"
"15",15,"street closed"
"16",16,"street closed"
"17",17,"street closed"
"18",18,"street closed"
"19",19,"street closed"
"20",20,"street closed"
"21",21,"street closed"
"22",22,"street open"
"23",23,"street closed"
"24",24,"street open"
"25",25,"street closed"
"26",26,"street open"
"27",27,"street closed"
"28",28,"street closed"
"29",29,"street closed"
"30",30,"street closed"
"31",31,"intersection not found"
"32",32,"street closed"
"33",33,"intersection not found"
"34",34,"street closed"
"35",35,"street open"
"36",36,"street closed"
"37",37,"street closed"
"38",38,"street closed"
"39",39,"street closed"
"40",40,"street open"
"41",41,"street open"
"42",42,"street closed"
"43",43,"street closed"
"44",44,"street closed"
"45",45,"street open"
"46",46,"street closed"
"47",47,"street closed"
"48",48,"street open"
"49",49,"street open"
"50",50,"street closed"
"51",51,"street closed"
"52",52,"street closed"
"53",53,"street closed"
"54",54,"street closed"
"55",55,"street closed"
"56",56,"street closed"
"57",57,"street open"
"58",58,"street closed"
"59",59,"street closed"
"60",60,"street closed"
"61",61,"street closed"
"62",62,"street closed"
"63",63,"duplicate"
"64",64,"street closed"
"65",65,"street closed"
"66",66,"duplicate"
"67",67,"street closed"
"68",68,"street closed"
"69",69,"street closed"
"70",70,"street closed"
"71",71,"street closed"
"72",72,"duplicate"
"73",73,"street open"
"74",74,"street closed"
"75",75,"street closed"
"76",76,"street open"
"77",77,"street closed"
"78",78,"street closed"
"79",79,"street closed"
"80",80,"street closed"
"81",81,"street open"
"82",82,"duplicate"
"83",83,"street closed"
"84",84,"street closed"
"85",85,"street closed"
"86",86,"street closed"
"87",87,"street closed"
"88",88,"street closed"
"89",89,"street closed"
"90",90,"street closed"
"91",91,"street closed"
"92",92,"street open"
"93",93,"duplicate"
"94",94,"street open"
"95",95,"street closed"
"96",96,"street closed"
"97",97,"street closed"
"98",98,"street closed"
"99",99,"street closed"
"100",100,"street open"
"101",101,"street closed"
"102",102,"street closed"
"103",103,"street closed"
"104",104,"street closed"
"105",105,"street closed"
"106",106,"street closed"
"107",107,"street closed"
"108",108,"street closed"
"109",109,"street closed"
"110",110,"street closed"
"111",111,"street closed"
"112",112,"street closed"
"113",113,"street closed"
"114",114,"street closed"
"115",115,"street closed"
"116",116,"street open"
"117",117,"street closed"
"118",118,"street closed"
"119",119,"duplicate"
"120",120,"street closed"
"121",121,"intersection not found"
"122",122,"street open"
"123",123,"street closed"
"124",124,"intersection not found"
"125",125,"street closed"
"126",126,"does not apply"
"127",127,"duplicate"
"128",128,"street closed"
"129",129,"street closed"
"130",130,"street closed"
"131",131,"street closed"
"132",132,"street closed"
"133",133,"street closed"
"134",134,"street closed"
"135",135,"street open"
"136",136,"street closed"
"137",137,"street closed"
"138",138,"street closed"
"139",139,"street closed"
"140",140,"street closed"
"141",141,"street closed"
"142",142,"street closed"
"143",143,"street closed"
"144",144,"street closed"
"145",145,"street closed"
"146",146,"street closed"
"147",147,"street closed"
"148",148,"street closed"
"149",149,"street closed"
"150",150,"street closed"
"151",151,"intersection not found"
"152",152,"street closed"
"153",153,"street closed"
"154",154,"street open"
"155",155,"street open"
"156",156,"street closed"
"157",157,"street open"
"158",158,"street open"
"159",159,"street open"
"160",160,"street open"
"161",161,"street open"
"162",162,"street closed"
"163",163,"street closed"
"164",164,"street open"
"165",165,"street open"
"166",166,"street closed"
"167",167,"street closed"
"168",168,"street open"
"169",169,"street open"
"170",170,"street closed"
"171",171,"street closed"
"172",172,"intersection not found"
"173",173,"street closed"
"174",174,"street open"
"175",175,"street closed"
"176",176,"street closed"
"177",177,"street closed"
"178",178,"street closed"
"179",179,"street closed"
"180",180,"street open"
"181",181,"street open"
"182",182,"duplicate with 202"
"183",183,"street open"
"184",184,"street closed"
"185",185,"street closed"
"186",186,"street closed"
"187",187,"street closed"
"188",188,"street closed"
"189",189,"street closed"
"190",190,"street closed"
"191",191,"duplicate"
"192",192,"street closed"
"193",193,"intersection not found"
"194",194,"street closed"
"195",195,"street closed"
"196",196,"street open"
"197",197,"street closed"
"198",198,"street closed"
"199",199,"street closed"
"200",200,"street closed"
"201",201,"street closed"
"202",202,"street closed"
"203",203,"street closed"
"204",204,"street closed"
"205",205,"street open"
"206",206,"street closed"
"207",207,"street closed"
"208",208,"street closed"
"209",209,"street open"
"210",210,"street closed"
"211",211,"street closed"
"212",212,"duplicate"
"213",213,"street closed"
"214",214,"street closed"
"215",215,"street closed"
"216",216,"street open"
"217",217,"street open"
"218",218,"street open"
"219",219,"street closed"
"220",220,"street closed"
"221",221,"street closed"
"222",222,"street closed"
"223",223,"street closed"
"224",224,"street closed"
"225",225,"street open"
"226",226,"street closed"
"227",227,"street open"
"228",228,"street closed"
"229",229,"street closed"
"230",230,"street closed"
"231",231,"street closed"
"232",232,"street closed"
"233",233,"street closed"
"234",234,"street open"
"235",235,"street closed"
"236",236,"street closed"
"237",237,"street closed"
"238",238,"street closed"
"239",239,"street closed"
"240",240,"street closed"
"241",241,"street closed"
"242",242,"street closed"
"243",243,"street closed"
"244",244,"street closed"
"245",245,"street open"
"246",246,"street closed"
"247",247,"street open"
"248",248,"street closed"
"249",249,"street closed"
"250",250,"duplicate"
"251",251,"street open"
"252",252,"street closed"
"253",253,"street closed"
"254",254,"street closed"
"255",255,"street closed"
"256",256,"street closed"
"257",257,"street closed"
"258",258,"street closed"
"259",259,"street closed"
"260",260,"street closed"
"261",261,"street closed"
"262",262,"street closed"
"263",263,"street closed"
"264",264,"street closed"
"265",265,"street closed"
"266",266,"street closed"
"267",267,"street closed"
"268",268,"street open"
"269",269,"street open"
"270",270,"street closed"
"271",271,"street closed"
"272",272,"street closed"
"273",273,"street closed"
"274",274,"street closed"
"275",275,"street closed"
"276",276,"street closed"
"277",277,"street closed"
"278",278,"street closed"
"279",279,"duplicate"
"280",280,"street closed"
"281",281,"street closed"
"282",282,"street open"
"283",283,"street open"
"284",284,"street closed"
"285",285,"street closed"
"286",286,"street closed"
"287",287,"street closed"
"288",288,"street closed"
"289",289,"duplicate"
"290",290,"street closed"
"291",291,"appears to be temporary"
"292",292,"street closed"
"293",293,"street closed"
"294",294,"street closed"
"295",295,"street closed"
"296",296,"street closed"
"297",297,"street closed"
"298",298,"street closed"
"299",299,"street closed"
"300",300,"street closed"
"301",301,"street closed"
"302",302,"street closed"
"303",303,"street closed"
"304",304,"street closed"
"305",305,"street closed"
"306",306,"street closed"
"307",307,"street closed"
"308",308,"street closed"
"309",309,"street closed"
