oldId,visitDate,visitTime,updateDate,updateTime,notes,ycord,xcord,attachments,nhood,proj
1,7/21/17,11:41:13 AM,7/21/17,11:41:23 AM,290,38.659237,-90.277953,,Academy ,24
2,7/21/17,11:47:13 AM,7/21/17,11:47:38 AM,253,38.661568,-90.266047,,Academy ,24
3,7/21/17,11:49:14 AM,7/21/17,11:49:14 AM,,38.661568,-90.266047,,Academy ,24
4,7/21/17,11:50:06 AM,7/21/17,11:50:06 AM,,38.661568,-90.266047,,Academy ,24
5,7/21/17,11:50:48 AM,7/21/17,11:50:53 AM,257,38.663565,-90.265133,,Academy ,24
1,7/21/17,10:58:28 PM,7/21/17,10:59:02 PM,Barrier 4,38.71733,-90.237803,,Baden,29
1,6/2/17,10:52:21 AM,6/2/17,10:52:25 AM,153,38.597818,-90.220592,,Benton park,12
1,5/26/17,10:51:15 AM,5/26/17,10:51:26 AM,#1,38.619611,-90.249767,,Botanical heights,6
2,5/26/17,10:58:49 AM,5/26/17,10:58:57 AM,12:00:00 AM,38.618575,-90.245095,,Botanical heights,6
3,5/26/17,11:04:18 AM,5/26/17,11:04:23 AM,12:00:00 AM,38.619084,-90.249849,,Botanical heights,6
4,5/26/17,11:20:28 AM,5/26/17,11:20:38 AM,#2,38.618187,-90.25008,,Botanical heights,6
1,5/28/17,11:32:04 AM,5/28/17,11:32:16 AM,#1,38.63846,-90.246425,,Central west end,9
2,5/28/17,11:45 AM,5/28/17,11:45:09 AM,#1,38.63846,-90.246425,,Central west end,9
3,5/28/17,11:57:43 AM,5/28/17,11:57:50 AM,211,38.64242,-90.24761,,Central west end,9
4,5/28/17,12:09:07 PM,5/28/17,12:09:13 PM,#3,38.640365,-90.240097,,Central west end,9
5,5/28/17,12:18:31 PM,5/28/17,12:18:57 PM,205,38.644327,-90.246248,,Central west end,9
6,5/28/17,12:32:47 PM,5/28/17,12:32:53 PM,#5,38.645247,-90.248462,,Central west end,9
7,5/28/17,12:37:30 PM,5/28/17,12:37:36 PM,207,38.64554,-90.248775,,Central west end,9
8,5/28/17,12:49:39 PM,5/28/17,12:49:48 PM,#5,38.644335,-90.249202,,Central west end,9
9,5/28/17,12:59:05 PM,5/28/17,12:59:11 PM,274,38.643445,-90.249788,,Central west end,9
10,5/28/17,1:14:15 PM,5/28/17,1:14:20 PM,276,38.646667,-90.252188,,Central west end,9
11,5/28/17,1:23:47 PM,5/28/17,1:23:55 PM,206,38.648012,-90.251333,,Central west end,9
13,5/28/17,1:43:05 PM,5/28/17,1:43:14 PM,210,38.647238,-90.255512,,Central west end,9
14,5/28/17,1:53:10 PM,5/28/17,1:53:16 PM,275,38.646313,-90.256142,,Central west end,9
15,5/28/17,2:02:36 PM,5/28/17,2:02:43 PM,#6,38.645258,-90.25711,,Central west end,9
16,5/28/17,2:23:31 PM,5/28/17,2:23:41 PM,287,38.649555,-90.260885,,Central west end,9
17,5/28/17,2:28:07 PM,5/28/17,2:28:12 PM,204,38.649018,-90.258138,,Central west end,9
1,6/22/17,2:49:27 PM,6/22/17,2:49:31 PM,59,38.615175,-90.203328,,Columbus square,19
2,6/22/17,2:52:04 PM,6/22/17,2:52:07 PM,55,38.63805,-90.192812,,Columbus square,19
2,5/26/17,1:15:57 PM,5/26/17,1:16:16 PM,75,38.612885,-90.228415,,Compton heights,8
3,5/26/17,1:23:44 PM,5/26/17,1:23:55 PM,88,38.613728,-90.228347,,Compton heights,8
4,5/26/17,1:32:07 PM,5/26/17,1:32:11 PM,84,38.61449,-90.232353,,Compton heights,8
5,5/26/17,1:39:57 PM,5/26/17,1:40:02 PM,74,38.613512,-90.232832,,Compton heights,8
6,5/26/17,1:56:03 PM,5/26/17,1:56:10 PM,#1,38.614443,-90.233293,,Compton heights,8
7,5/26/17,2:02:23 PM,5/26/17,2:03:11 PM,84,38.614387,-90.23284,,Compton heights,8
8,5/26/17,2:11:36 PM,5/26/17,2:12:08 PM,109,38.612917,-90.234348,,Compton heights,8
1,7/9/17,12:20:38 PM,7/9/17,12:20:45 PM,215,,,,Covenant blu,6
2,7/9/17,12:24:33 PM,7/9/17,12:24:40 PM,214,,,,Covenant blu,6
1,6/22/17,1:16:33 PM,6/22/17,1:16:54 PM,156,38.581063,-90.2302,,Dutchtown,16
1,7/22/17,12:07:35 AM,7/22/17,12:08:03 AM,16,38.672745,-90.210412,,Fairground,32
2,7/22/17,12:14:17 AM,7/22/17,12:15:28 AM,28,38.661585,-90.215627,,Fairground,32
3,7/22/17,12:22:17 AM,7/22/17,12:24:02 AM,17,38.661222,-90.21261,,Fairground,32
4,7/22/17,12:25:57 AM,7/22/17,12:26:21 AM,15,38.661872,-90.211755,,Fairground,32
1,6/6/17,4:28:53 PM,6/6/17,4:29:57 PM,176,38.628846,-90.257708,,Forest park se,4
2,6/6/17,4:35:07 PM,6/6/17,4:35:14 PM,177,38.628917,-90.25836,,Forest park se,4
3,6/6/17,4:44:17 PM,6/6/17,4:44:24 PM,186,38.627325,-90.259237,,Forest park se,4
4,6/6/17,4:49:42 PM,6/6/17,4:49:50 PM,170,38.628093,-90.258427,,Forest park se,4
5,6/6/17,4:50:12 PM,6/6/17,4:50:17 PM,171,38.628093,-90.258427,,Forest park se,4
6,6/6/17,5:02:36 PM,6/6/17,5:02:44 PM,188,38.625405,-90.261807,,Forest park se,4
7,6/6/17,5:11:11 PM,6/6/17,5:11:15 PM,184,38.624608,-90.261783,,Forest park se,4
8,6/6/17,5:19:31 PM,6/6/17,5:19:36 PM,189,38.623592,-90.262195,,Forest park se,4
9,6/6/17,5:39:42 PM,6/6/17,5:39:46 PM,192,38.623592,-90.262195,,Forest park se,4
10,6/6/17,5:47:44 PM,6/6/17,5:47:54 PM,185,38.628418,-90.264402,,Forest park se,4
1,7/9/17,1:16:41 PM,7/9/17,1:16:46 PM,201,,,,Fountain park,9
2,7/9/17,1:23:04 PM,7/9/17,1:23:12 PM,197,,,,Fountain park,9
3,7/9/17,1:30:50 PM,7/9/17,1:30:56 PM,194,,,,Fountain park,9
1,5/29/17,11:20:33 AM,5/29/17,11:20:40 AM,Barrier 112,38.610338,-90.227874,,Fox Park,3
2,5/29/17,11:30:57 AM,5/29/17,11:31:26 AM,"New barrier 1California and Accomac",38.610017,-90.226925,,Fox Park,3
3,5/29/17,11:40:21 AM,5/29/17,11:41:17 AM,Barrier 111 (110?),38.609425,-90.22298,,Fox Park,3
4,5/29/17,11:50:21 AM,5/29/17,11:50:28 AM,Barrier 115,38.608548,-90.223092,,Fox Park,3
5,5/29/17,11:58:57 AM,5/29/17,11:59:08 AM,Barrier 115,38.607305,-90.227397,,Fox Park,3
6,5/29/17,12:07:53 PM,5/29/17,12:07:59 PM,Barrier 114,38.61033,-90.222853,,Fox Park,3
7,5/29/17,12:20:33 PM,5/29/17,12:20:38 PM,Barrier 113,38.612137,-90.222283,,Fox Park,3
8,5/29/17,12:22:18 PM,5/29/17,12:22:54 PM,"New barrier 2Alley by barrier 113",38.612005,-90.22235,,Fox Park,3
9,5/29/17,12:32:06 PM,5/29/17,12:32:12 PM,Barrier 86,38.612983,-90.222197,,Fox Park,3
10,5/29/17,12:39:30 PM,5/29/17,12:43:05 PM,"New barrier 3Oregon and Geyer",38.613755,-90.227798,,Fox Park,3
11,5/29/17,12:48:01 PM,5/29/17,12:49:56 PM,"New barrier 4Oregon and Allan",38.612948,-90.228533,,Fox Park,3
12,5/29/17,12:54:01 PM,5/29/17,12:54:11 PM,Barrier 87,38.613802,-90.228285,,Fox Park,3
1,6/22/17,12:25:47 PM,6/22/17,12:25:47 PM,,38.65739,-90.283678,,Gravois park,15
1,7/31/17,3:02:07 AM,7/31/17,3:02:36 AM,Barrier 46,,,,Greater Ville ,34
2,7/31/17,3:04:07 AM,7/31/17,3:05:37 AM,Barrier 47,38.662658,-90.24956,,Greater Ville ,34
3,7/31/17,3:17:17 AM,7/31/17,3:17:24 AM,Barrier 44,38.654347,-90.2357,,Greater Ville ,34
1,7/21/17,12:05:41 PM,7/21/17,12:05:49 PM,231,38.672417,-90.284768,,Hamilton Heights ,25
1,6/29/17,10:40:04 AM,6/29/17,10:40:08 AM,30,38.657558,-90.20795,,Hyde park,21
2,6/29/17,10:48:24 AM,6/29/17,10:48:29 AM,38,38.657558,-90.20795,,Hyde park,21
3,6/29/17,10:56:53 AM,6/29/17,10:56:58 AM,37,38.665315,-90.206735,,Hyde park,21
4,6/29/17,11:07:09 AM,6/29/17,11:07:12 AM,11,38.66597,-90.204655,,Hyde park,21
5,6/29/17,11:11:40 AM,6/29/17,11:11:43 AM,32,38.666802,-90.204913,,Hyde park,21
6,6/29/17,11:23:10 AM,6/29/17,11:23:14 AM,67,38.66636,-90.203257,,Hyde park,21
7,6/29/17,11:33:31 AM,6/29/17,11:33:31 AM,,38.66636,-90.203257,,Hyde park,21
8,6/29/17,11:34:01 AM,6/29/17,11:34:08 AM,#1,38.66715,-90.203868,,Hyde park,21
9,6/29/17,11:43:23 AM,6/29/17,11:43:29 AM,36,38.666985,-90.202093,,Hyde park,21
10,6/29/17,11:50:30 AM,6/29/17,11:50:40 AM,#2,38.664822,-90.205265,,Hyde park,21
11,6/29/17,11:55:48 AM,6/29/17,11:55:54 AM,#3,38.664822,-90.205265,,Hyde park,21
12,6/29/17,12:01:41 PM,6/29/17,12:01:47 PM,#4,38.664822,-90.205265,,Hyde park,21
13,6/29/17,12:18:07 PM,6/29/17,12:21:33 PM,20,38.662285,-90.203765,,Hyde park,21
14,6/29/17,12:27:16 PM,6/29/17,12:27:19 PM,21,38.663103,-90.201565,,Hyde park,21
15,6/29/17,12:33:37 PM,6/29/17,12:33:41 PM,18,38.663892,-90.19901,,Hyde park,21
16,6/29/17,12:37:45 PM,6/29/17,12:37:56 PM,19,38.663607,-90.19985,,Hyde park,21
17,6/29/17,12:50:51 PM,6/29/17,12:50:55 PM,61,38.656565,-90.200067,,Hyde park,21
18,6/29/17,12:56:28 PM,6/29/17,12:56:32 PM,13,38.65745,-90.202602,,Hyde park,21
19,6/29/17,1:06:24 PM,6/29/17,1:06:33 PM,39,38.656772,-90.205072,,Hyde park,21
20,6/29/17,1:09:43 PM,6/29/17,1:09:48 PM,42,38.656898,-90.205833,,Hyde park,21
1,6/30/17,1:21:16 PM,6/30/17,1:22:42 PM,Barrier 27,38.659932,-90.225188,,Jeff Vanderlou,5
2,6/30/17,1:31:58 PM,6/30/17,1:32:03 PM,Barrier50,38.660745,-90.224685,,Jeff Vanderlou,5
3,6/30/17,1:43:18 PM,6/30/17,1:43:24 PM,Barrier 14,38.661583,-90.224003,,Jeff Vanderlou,5
4,6/30/17,1:53:08 PM,6/30/17,1:53:15 PM,Barrier 23,38.661583,-90.224003,,Jeff Vanderlou,5
5,6/30/17,1:58:37 PM,6/30/17,1:58:46 PM,Barrier 29,38.657442,-90.221697,,Jeff Vanderlou,5
6,6/30/17,2:20:01 PM,6/30/17,2:20:21 PM,Barrier 34,38.660147,-90.217298,,Jeff Vanderlou,5
7,6/30/17,2:37:24 PM,6/30/17,2:37:37 PM,Barrier 213,38.660147,-90.217298,,Jeff Vanderlou,5
1,6/2/17,11:11:24 AM,6/2/17,11:11:28 AM,83,38.613795,-90.2118,,Lafayette square,13
2,6/2/17,11:26:15 AM,6/2/17,11:29:25 AM,95,38.613795,-90.2118,,Lafayette square,13
3,6/2/17,11:37:11 AM,6/2/17,11:37:18 AM,99,38.620575,-90.215517,,Lafayette square,13
4,6/2/17,11:50:10 AM,6/2/17,11:50:14 AM,98,38.619617,-90.210333,,Lafayette square,13
5,6/2/17,11:57:37 AM,6/2/17,11:57:42 AM,78,38.619548,-90.209055,,Lafayette square,13
6,6/2/17,12:02:40 PM,6/2/17,12:43:14 PM,81 in PDW,38.619978,-90.210205,,Lafayette square,13
7,6/2/17,12:23:24 PM,6/2/17,12:43:02 PM,118 in PDW,38.61483,-90.209787,,Lafayette square,13
8,6/2/17,12:31:31 PM,6/2/17,12:42:53 PM,79 in PDW,38.613805,-90.21063,,Lafayette square,13
9,6/2/17,12:40:50 PM,6/2/17,12:42:40 PM,94 in PDW,38.617968,-90.208308,,Lafayette square,13
1,6/22/17,2:10:31 PM,6/22/17,2:10:35 PM,120,38.613522,-90.2053,,Lasalle,18
2,6/22/17,2:18:03 PM,6/22/17,2:19 PM,123,38.613958,-90.20222,,Lasalle,18
3,6/22/17,2:27:23 PM,6/22/17,2:27:40 PM,125,38.615175,-90.203328,,Lasalle,18
1,7/9/17,12:52:01 PM,7/9/17,12:52:08 PM,#1,,,,Lewis place,8
2,7/9/17,12:57:07 PM,7/9/17,12:57:14 PM,199,,,,Lewis place,8
3,7/9/17,1:01:55 PM,7/9/17,1:02:37 PM,203,,,,Lewis place,8
4,7/9/17,1:11:11 PM,7/9/17,1:11:21 PM,#2,,,,Lewis place,8
1,6/22/17,1:29:12 PM,6/22/17,1:29:12 PM,,38.587252,-90.220575,,Marine villa,17
2,6/22/17,1:38:26 PM,6/22/17,1:38:26 PM,,38.588188,-90.224252,,Marine villa,17
3,6/22/17,1:49:51 PM,6/22/17,1:50:29 PM,162,38.579958,-90.228187,,Marine villa,17
4,6/22/17,1:59:48 PM,6/22/17,1:59:57 PM,#1,38.580618,-90.22734,,Marine villa,17
2,5/20/17,10:15:16 AM,5/20/17,10:15:16 AM,,38.612923,-90.256997,,Shaw,5
3,5/20/17,10:23:35 AM,5/20/17,10:23:35 AM,,38.613868,-90.256728,,Shaw,5
5,5/20/17,10:31:25 AM,5/20/17,10:31:39 AM,#1,38.614567,-90.256692,,Shaw,5
6,5/20/17,10:36:52 AM,5/20/17,10:36:52 AM,,38.614962,-90.256512,,Shaw,5
7,5/20/17,10:44:30 AM,5/20/17,10:44:30 AM,,38.615793,-90.256335,,Shaw,5
8,5/20/17,10:55:20 AM,5/20/17,10:55:20 AM,,38.617287,-90.250492,,Shaw,5
9,5/20/17,11:06:37 AM,5/20/17,11:06:37 AM,,38.612397,-90.240505,,Shaw,5
10,5/20/17,11:15:24 AM,5/20/17,11:15:34 AM,Flad gate,38.611465,-90.241235,,Shaw,5
11,5/20/17,11:19:45 AM,5/20/17,11:19:58 AM,Flad cul de sac,38.61147,-90.24147,,Shaw,5
12,5/20/17,11:27:21 AM,5/20/17,11:27:21 AM,,38.610558,-90.241632,,Shaw,5
13,5/20/17,11:40:19 AM,5/20/17,11:40:19 AM,,38.609665,-90.241733,,Shaw,5
14,5/20/17,11:48:54 AM,5/20/17,11:48:54 AM,,38.60884,-90.242198,,Shaw,5
15,5/20/17,12:05:38 PM,5/20/17,12:05:46 PM,#2,38.610142,-90.241715,,Shaw,5
16,5/20/17,12:07:16 PM,5/20/17,12:07:24 PM,#3,38.610203,-90.24198,,Shaw,5
17,5/20/17,12:23:47 PM,5/20/17,12:32:49 PM,#5,38.614493,-90.242865,,Shaw,5
18,5/20/17,12:29:06 PM,5/20/17,12:33:24 PM,#4,38.613765,-90.242902,,Shaw,5
19,5/20/17,12:41:25 PM,5/20/17,12:43 PM,#6.  Shaw place black gate,38.615455,-90.241925,,Shaw,5
21,5/20/17,12:52:39 PM,5/20/17,12:52:47 PM,#7,38.614022,-90.240922,,Shaw,5
22,5/20/17,1:06:07 PM,5/20/17,1:06:07 PM,,38.615022,-90.247315,,Shaw,5
1,6/25/17,4:51:46 PM,6/25/17,4:52:07 PM,Barrier 285,38.649719,-90.28469,,Skinker DeBaliviere,20
2,6/25/17,5:06:34 PM,6/25/17,5:06:59 PM,"Barrier 271 Lol this is actually just the DeBaliviere neighborhood",38.65106,-90.282427,,Skinker DeBaliviere,20
3,6/25/17,5:13:09 PM,6/25/17,5:13:33 PM,Barrier 245 - DeBaliviere,38.653392,-90.282177,,Skinker DeBaliviere,20
4,6/25/17,5:23:47 PM,6/25/17,5:24:04 PM,Barrier 265 DeBaliviere,38.64916,-90.278147,,Skinker DeBaliviere,20
5,6/25/17,5:31:41 PM,6/25/17,5:33:33 PM,New barrier half a block past barrier 265 before you get to a street that we don't know the name of,38.649905,-90.278067,,Skinker DeBaliviere,20
6,6/25/17,5:46:59 PM,6/25/17,5:48:08 PM,Kingsbury Place barrier thing - small entrances w/ big stone pillars right off Union ,38.650253,-90.274255,,Skinker DeBaliviere,20
7,6/25/17,5:58:11 PM,6/25/17,5:59:02 PM,Barrier 270 DeBaliviere,38.651003,-90.282358,Image_20-7.jpg,Skinker DeBaliviere,20
8,6/25/17,6:09:53 PM,6/25/17,6:10:18 PM,Barrier283 DeValiviere,38.65166,-90.273973,,Skinker DeBaliviere,20
1,5/31/17,4:10:03 PM,5/31/17,4:10:06 PM,90,38.61653,-90.227578,,The gate district ,10
2,5/31/17,4:17:09 PM,5/31/17,4:17:16 PM,80,38.617333,-90.227322,,The gate district ,10
3,5/31/17,4:26:31 PM,5/31/17,4:26:35 PM,108,38.61828,-90.227145,,The gate district ,10
4,5/31/17,4:38:57 PM,5/31/17,4:39:03 PM,77,38.619693,-90.223597,,The gate district ,10
5,5/31/17,4:44:02 PM,5/31/17,4:44:07 PM,101,38.620892,-90.22429,,The gate district ,10
6,5/31/17,4:54:01 PM,5/31/17,4:54:06 PM,101,38.620307,-90.221792,,The gate district ,10
7,5/31/17,5:06:31 PM,5/31/17,5:06:48 PM,96,38.621073,-90.221538,,The gate district ,10
8,5/31/17,5:09:40 PM,5/31/17,5:09:46 PM,#1,38.621505,-90.221397,,The gate district ,10
9,5/31/17,5:22:03 PM,5/31/17,5:22:10 PM,#2,38.619452,-90.222032,,The gate district ,10
10,5/31/17,5:27:26 PM,5/31/17,5:27:31 PM,102,38.619852,-90.219848,,The gate district ,10
11,5/31/17,5:36:57 PM,5/31/17,5:37:01 PM,91,38.616748,-90.229047,,The gate district ,10
12,5/31/17,5:48:05 PM,5/31/17,5:51:58 PM,#3,38.62119,-90.230953,,The gate district ,10
13,5/31/17,5:57:56 PM,5/31/17,5:58:18 PM,104,38.622072,-90.230647,,The gate district ,10
14,5/31/17,6:05:01 PM,5/31/17,6:05:23 PM,97,38.622953,-90.230357,,The gate district ,10
1,5/29/17,10:13:52 AM,5/29/17,10:14:01 AM,Barrier 150,38.603281,-90.241742,,Tower Grove East,2
2,5/29/17,10:25:11 AM,5/29/17,10:25:59 AM,"New barrier 1Pestalozzi and Louisiana",38.603923,-90.237312,,Tower Grove East,2
3,5/29/17,10:32:13 AM,5/29/17,10:32:22 AM,Barrier 89,38.601283,-90.237948,,Tower Grove East,2
4,5/29/17,10:39:30 AM,5/29/17,10:39:49 AM,New barrier 2,38.601093,-90.236757,,Tower Grove East,2
5,5/29/17,10:40:20 AM,5/29/17,10:40:26 AM,New barrier 3,38.601093,-90.236757,,Tower Grove East,2
6,5/29/17,10:49:37 AM,5/29/17,10:49:49 AM,Barrier 152,38.597298,-90.237688,,Tower Grove East,2
1,5/29/17,9:38:22 AM,5/29/17,9:38:46 AM,Barrier 237,38.592248,-90.270215,,Tower Grove South,1
1,7/21/17,11:51:02 PM,7/21/17,11:51:22 PM,25,,,,College hill,31
1,7/31/17,3:41:20 AM,7/31/17,3:43:17 AM,Barrier 3,38.675435,-90.251773,,Kingsway East,36
1,7/23/17,11:24:53 PM,7/23/17,11:25 PM,Barrier 165,38.590563,-90.310205,,Lindenwood park ,33
2,7/23/17,11:31:38 PM,7/23/17,11:31:41 PM,167,38.590257,-90.307337,,Lindenwood park ,33
3,7/23/17,11:41:26 PM,7/23/17,11:41:30 PM,166,38.588208,-90.311978,,Lindenwood park ,33
1,7/21/17,12:28:07 PM,7/21/17,12:28:21 PM,1,38.693682,-90.270902,,Mark Twain I-70,26
1,7/31/17,3:58:44 AM,7/31/17,3:58:50 AM,229,38.675435,-90.251773,,OFallon,37
1,7/31/17,3:29:44 AM,7/31/17,3:30:57 AM,230,38.677175,-90.236932,,Penrose,35
2,7/31/17,3:35:20 AM,7/31/17,3:35:59 AM,228,38.673958,-90.243532,,Penrose,35
1,6/30/17,10:33:28 AM,6/30/17,10:33:35 AM,251,38.650933,-90.28565,,Skinker debaliviere ,23
2,6/30/17,10:37:35 AM,6/30/17,10:37:39 AM,272,38.652033,-90.289015,,Skinker debaliviere ,23
3,6/30/17,10:45:51 AM,6/30/17,10:45:51 AM,,38.652563,-90.288927,,Skinker debaliviere ,23
4,6/30/17,10:52:02 AM,6/30/17,10:52:16 AM,282,38.653573,-90.290213,,Skinker debaliviere ,23
5,6/30/17,10:59:26 AM,6/30/17,10:59:43 AM,269,38.654038,-90.29076,,Skinker debaliviere ,23
6,6/30/17,11:06:32 AM,6/30/17,11:07:33 AM,280,38.65467,-90.29609,,Skinker debaliviere ,23
7,6/30/17,11:12:47 AM,6/30/17,11:12:54 AM,268,38.65426,-90.294342,,Skinker debaliviere ,23
8,6/30/17,11:20:15 AM,6/30/17,11:20:19 AM,267,38.654333,-90.29291,,Skinker debaliviere ,23
9,6/30/17,11:32:47 AM,6/30/17,11:32:50 AM,277,38.650978,-90.29167,,Skinker debaliviere ,23
10,6/30/17,11:40:50 AM,6/30/17,11:40:56 AM,266,38.64874,-90.286113,,Skinker debaliviere ,23
1,6/29/17,1:20:50 PM,6/29/17,1:20:55 PM,71,38.654618,-90.202588,,St. Louis place,22
1,7/21/17,12:39:10 PM,7/21/17,12:39:26 PM,261,38.695768,-90.259893,,Walnut Park East,27
1,7/21/17,10:21:23 PM,7/21/17,10:21:35 PM,262,,,,Walnut Park West,28
2,7/21/17,10:27:08 PM,7/21/17,10:27:13 PM,260,38.704112,-90.258072,,Walnut Park West,28
3,7/21/17,10:30:59 PM,7/21/17,10:31:10 PM,264,38.704112,-90.258072,,Walnut Park West,28
4,7/21/17,10:35:49 PM,7/21/17,10:36:28 PM,263,38.704112,-90.258072,,Walnut Park West,28
5,7/21/17,10:39:59 PM,7/21/17,10:40:08 PM,New barrier 1,38.706697,-90.255918,,Walnut Park West,28