FID_1,NHD_NUM,NHD_NAME,NHD_NUMTXT,SHAPE_area,SHAPE_len,BarrierCou
0,43,Franz Park,43 Franz Park,11012014.474,14740.4304938,0.0
1,29,Tiffany,29 Tiffany,5887341.6974,10467.8465275,3.0
2,28,Botanical Heights,28 Botanical Heights,11586011.7095,14700.023102,3.0
3,40,Kings Oak,40 Kings Oak,4706723.0471,9239.95619396,0.0
4,41,Cheltenham,41 Cheltenham,9245750.76721,12357.1058345,0.0
5,42,Clayton-Tamm,42 Clayton-Tamm,9771241.94331,12518.3675732,0.0
6,39,Forest Park South East,39 Forest Park South East,17997279.5246,20161.3423187,13.0
7,44,Hi-Pointe,44 Hi-Pointe,7763126.3074,12089.3691338,0.0
8,36,Downtown West,36 Downtown West,32059212.9223,22891.5359861,2.0
9,37,Midtown,37 Midtown,37701224.0131,27928.9245191,0.0
10,62,Columbus Square,62 Columbus Square,5244089.18716,9391.87728901,2.0
11,61,Carr Square,61 Carr Square,11460266.3378,15093.7027462,3.0
12,45,Wydown Skinker,45 Wydown Skinker,3376532.3654,12279.8354206,0.0
13,77,Covenant Blu-Grand Center,77 Covenant Blu-Grand Center,15786800.5685,16145.7180832,2.0
14,38,Central West End,38 Central West End,52706432.0381,32157.9860728,28.0
15,63,Old North St. Louis,63 Old North St. Louis,10866734.0115,16734.0895872,2.0
16,58,Vandeventer,58 Vandeventer,13202229.653,14681.9676732,1.0
17,60,St. Louis Place,60 St. Louis Place,19292237.1969,19574.215255,10.0
18,49,Visitation Park,49 Visitation Park,4132371.0016,8348.39333295,4.0
19,54,Lewis Place,54 Lewis Place,9280132.58375,12563.5437693,5.0
20,53,Fountain Park,53 Fountain Park,6726004.81221,11372.4413047,4.0
21,59,Jeff Vanderlou,59 Jeff Vanderlou,34796609.5229,26138.9930426,7.0
22,57,The Ville,57 The Ville,11558680.5674,13662.4788735,0.0
23,51,Academy,51 Academy,12478447.7464,14276.1918794,5.0
24,65,Hyde Park,65 Hyde Park,15793783.7325,16383.9583849,15.0
25,83,Fairground Park,83 Fairground Park,5978810.192,10937.5866549,0.0
26,48,West End,48 West End,27815504.0603,23799.099603,16.0
27,56,Greater Ville,56 Greater Ville,26479573.2231,30953.2937631,4.0
28,67,Fairground Neighborhood,67 Fairground Neighborhood,8879458.86205,14109.5313678,4.0
29,78,Hamilton Heights,78 Hamilton Heights,13624173.7902,16876.7845529,1.0
30,55,Kingsway East,55 Kingsway East,13524037.6944,15944.4154671,6.0
31,52,Kingsway West,52 Kingsway West,11680115.9589,15325.5903175,1.0
32,2,Patch,2 Patch,26545013.2512,21057.2032217,0.0
33,80,Carondelet Park,80 Carondelet Park,7904939.58094,13069.4894593,0.0
34,1,Carondelet,1 Carondelet,36695189.6799,35037.2380011,0.0
35,3,Holly Hills,3 Holly Hills,11192503.4323,15261.5919818,0.0
36,4,Boulevard Heights,4 Boulevard Heights,45539464.4872,31217.6781691,0.0
37,17,Mount Pleasant,17 Mount Pleasant,16258673.607,18033.9772889,0.0
38,6,Princeton Heights,6 Princeton Heights,23180311.563,22627.9429779,0.0
39,8,St. Louis Hills,8 St. Louis Hills,32908135.2687,32922.065521,0.0
40,88,Wilmore Park,88 Wilmore Park,11174511.0007,23685.431364,0.0
41,16,Dutchtown,16 Dutchtown,42192856.1495,31441.6700044,1.0
42,5,Bevo Mill,5 Bevo Mill,38135570.4661,26714.4915889,0.0
43,7,South Hampton,7 South Hampton,19529873.8696,18740.2472629,0.0
44,18,Marine Villa,18 Marine Villa,18168735.9372,17590.6612835,2.0
45,19,Gravois Park,19 Gravois Park,12255004.6867,15315.8067903,1.0
46,14,North Hampton,14 North Hampton,25699567.084,20519.8593983,0.0
47,30,Benton Park West,30 Benton Park West,11316608.4379,16728.601362,0.0
48,15,Tower Grove South,15 Tower Grove South,41240653.7882,26479.5634826,1.0
49,9,Lindenwood Park,9 Lindenwood Park,41617596.3219,27863.0653263,2.0
50,22,Benton Park,22 Benton Park,13305847.0349,17211.9118057,1.0
51,81,Tower Grove Park,81 Tower Grove Park,12529808.379,18821.4775047,0.0
52,25,Tower Grove East,25 Tower Grove East,14381257.772,17279.346575,3.0
53,23,McKinley Heights,23 McKinley Heights,6061727.72165,10486.4094436,0.0
54,21,Soulard,21 Soulard,16725568.2752,21384.7591227,0.0
55,24,Fox Park,24 Fox Park,7852367.55875,12400.0588815,9.0
56,26,Compton Heights,26 Compton Heights,7777424.1594,11340.6896621,6.0
57,20,Kosciusko,20 Kosciusko,29751928.8692,26994.8133113,0.0
58,87,Missouri Botanical Garden,87 Missouri Botanical Garden,3688195.5578,8276.67010697,0.0
59,27,Shaw,27 Shaw,16624723.0968,16504.1755695,15.0
60,13,Southwest Garden,13 Southwest Garden,23769911.0559,28812.9843627,0.0
61,11,Clifton Heights,11 Clifton Heights,13567814.4239,15013.2411818,0.0
62,34,LaSalle Park,34 LaSalle Park,5852331.44904,11806.7431915,3.0
63,33,Peabody Darst Webbe,33 Peabody Darst Webbe,5612688.38535,10086.0410291,2.0
64,32,Lafayette Square,32 Lafayette Square,9434762.0558,12445.9862085,5.0
65,10,Ellendale,10 Ellendale,22629017.7912,27220.1085411,0.0
66,12,The Hill,12 The Hill,26943166.0125,21218.4652867,0.0
67,31,The Gate District,31 The Gate District,18200853.716,17388.0128525,12.0
68,66,College Hill,66 College Hill,11054097.5951,14075.7925004,1.0
69,68,O'Fallon,68 O'Fallon,16430125.4788,20826.7063907,1.0
70,85,O'Fallon Park,85 O'Fallon Park,6530988.40035,10887.2836815,0.0
71,69,Penrose,69 Penrose,21647512.0809,20754.1974927,2.0
72,64,Near North Riverfront,64 Near North Riverfront,59036750.1318,44145.9654374,1.0
73,84,Penrose Park,84 Penrose Park,3173812.94625,7878.89296292,0.0
74,50,Wells Goodfellow,50 Wells Goodfellow,34001119.4942,23886.7347232,3.0
75,71,Mark Twain,71 Mark Twain,17951137.7621,19277.8489003,0.0
76,70,Mark Twain I-70 Industrial,70 Mark Twain I-70 Industrial,33494593.8248,25794.1573358,1.0
77,72,Walnut Park East,72 Walnut Park East,18651761.3364,17228.0682645,1.0
78,86,Belfontaine/Calvary Cemetery,86 Belfontaine/Calvary Cemetery,37919018.1499,27938.7854813,0.0
79,76,Walnut Park West,76 Walnut Park West,12086777.0677,15046.9110883,5.0
80,73,North Pointe,73 North Pointe,13944837.5829,16133.096532,0.0
81,79,North Riverfront,79 North Riverfront,68101106.023,49268.6590899,0.0
82,74,Baden,74 Baden,30574879.2447,29694.8925571,1.0
83,75,Riverview,75 Riverview,36656611.3805,46543.7285251,3.0
84,82,Forest Park,82 Forest Park,59270680.4129,34399.1808888,0.0
85,47,DeBaliviere Place,47 DeBaliviere Place,8997020.6983,12016.168442,5.0
86,46,Skinker DeBaliviere,46 Skinker DeBaliviere,14345640.3546,15943.6611288,6.0
87,35,Downtown,35 Downtown,28793630.0645,22821.3512826,0.0
