X,Y,BarrierID,Status,LastUpdate,Type,BarrierCk,CheckType,BarrierCk2,CheckType2,Descrip,Redev
-90.2241397469262,38.5881480407913,163,closed,04/06/18,complete,06/22/17,in-person,,,3600-block of Missouri Ave at South Broadway,FALSE
-90.2205258117181,38.5871486313899,164,closed,04/06/18,complete,06/22/17,in-person,,,1900-block of Winnebago St at Marine AveL,FALSE
-90.3105296147405,38.5904635376295,165,open,04/06/18,,07/23/17,in-person,,,,
-90.312215195107,38.5880785755483,166,closed,04/06/18,complete,07/23/17,in-person,,,"4600-block of McCausland Ave, mid-block",FALSE
-90.3073595017928,38.5901983181694,167,closed,04/06/18,complete,07/23/17,in-person,,,"6700-block of Plainview Ave, mid-block",FALSE
-90.2586378278414,38.6281381132012,170,closed,04/06/18,complete,06/06/17,in-person,,,4400-block of Arco Ave at South Newstead Ave,FALSE
-90.258402129615,38.6280869111723,171,closed,04/06/18,complete,06/06/17,in-person,,,4300-block of Arco Ave at South Newstead Ave,FALSE
-90.2643094658891,38.6265717605441,173,closed,04/06/18,complete,06/06/17,in-person,,,"4500-block of Cadet Ave at South Kingshighway Blvd
",FALSE
-90.2544877399886,38.6281723368106,174,open,04/06/18,,06/06/17,in-person,,,,
-90.2583404838853,38.6290064214274,176,closed,04/06/18,complete,06/06/17,in-person,,,"4400-block of Gibson Ave at South Newstead Ave
",FALSE
-90.2581074638524,38.6289558417709,177,closed,04/06/18,complete,06/06/17,in-person,,,"4300-block of Gibson Ave at South Newstead Ave
",FALSE
-90.2665839995664,38.6274490000389,180,open,04/06/18,,06/11,google maps,,,,
-90.2663699220577,38.6287789296208,181,open,04/06/18,,07/17,google maps,,,,
-90.2618018753969,38.6244804715238,184,closed,04/06/18,complete,06/06/17,in-person,,,"4400-block of Norfolk Ave at South Taylor Ave
",FALSE
-90.2643815747597,38.6284265348733,185,closed,04/06/18,complete,06/06/17,in-person,,,"4500-block of Oakland Ave at South Kingshighway Blvd
",FALSE
-90.2592674218652,38.6273117751858,186,closed,04/06/18,complete,06/06/17,in-person,,,"4400-block of Oakland Ave, mid-block",FALSE
-90.2616356086438,38.625416073011,188,closed,04/06/18,complete,06/06/17,in-person,,,"4400-block of Swan Ave at South Taylor Ave
",FALSE
-90.2620528252265,38.6235605914516,189,closed,04/06/18,complete,06/06/17,in-person,,,4400-block of Vista Ave at South Taylor Ave,FALSE
-90.2640562544298,38.6273306921085,192,closed,04/06/18,complete,06/06/17,in-person,,,"4500-block of Wichita Ave at South Kingshighway Blvd
",FALSE
-90.2318042708733,38.5908842254988,223,closed,04/06/18,complete,05/12,google maps,,,"3500-block of Oregon Ave, mid-block",FALSE
-90.2465277729321,38.6730001984022,224,closed,04/06/18,complete,09/14,google maps,,,4750-block of Palm St at Shreve Ave,FALSE
-90.2807136919122,38.6624679867419,238,closed,04/06/18,complete,07/16,google maps,,,5500-block of Bartmer Ave at Clara Ave,FALSE
-90.2781942646654,38.6580914283798,239,closed,04/06/18,complete,07/17,google maps,,,5300-block of Cabanne Ave at Belt Ave,FALSE
-90.2841029999662,38.6574830000914,242,closed,04/06/18,complete,08/11,google maps,,,5700-block of Cates Ave at Ruth C. Porter Mall,FALSE
-90.2779159589488,38.6605201498282,243,closed,04/06/18,complete,07/17,google maps,,,1100-block of Belt Ave at Maple Ave,FALSE
-90.2821131443182,38.6534599305534,245,closed,04/06/18,complete,06/25/17,in-person,,,501-block of Clara Ave at Delmar Blvd,FALSE
-90.2901072127672,38.6568739665368,246,closed,04/06/18,complete,07/15,google maps,,,5800-block of Clemens Ave at Hamilton Blvd,FALSE
-90.2787847722834,38.6547634286161,248,closed,04/06/18,complete,07/17,google maps,,,5400-block of Enright Ave at Belt Ave,FALSE
-90.2903000126876,38.6557022670101,249,closed,04/06/18,complete,07/15,google maps,,,5800-block of Enright Ave at Hamilton Blvd,FALSE
-90.2857820001934,38.6509360006123,251,closed,04/06/18,complete,06/30/17,in-person,,,5700-block of McPherson Ave at DeBaliviere Ave,FALSE
-90.2778393155528,38.6601248288077,252,closed,04/06/18,complete,07/17,google maps,,,5300-block of Maple Ave at Belt Ave,FALSE
-90.2661037118148,38.6613805104415,253,closed,04/06/18,complete,07/21/18,in-person,,,5100-block of Minerva Ave at Academy Ave,FALSE
-90.2867584988852,38.6629954210067,255,closed,04/06/18,complete,08/11,google maps,,,1-block of Thornby Pl at Bartmer Ave,FALSE
-90.2778769993491,38.6591990001383,256,closed,04/06/18,complete,07/21/17,in-person,,,5300-block of Vernon Ave at Belt Ave,FALSE
-90.2653323897237,38.6634301630922,257,closed,04/06/18,complete,07/21/18,in-person,,,5100-block of Wells Ave at Academy Ave,FALSE
-90.2425870123811,38.6734266807404,228,closed,04/06/18,complete,07/31/17,in-person,,,"4600-block of Sacramento Ave, mid-block",FALSE
-90.2259641653296,38.6699203999614,229,closed,04/06/18,complete,07/17,google maps,,,3800-block of Kossuth Ave at Fair Ave,FALSE
-90.2370626102883,38.6771471546355,230,closed,04/06/18,complete,07/31/17,in-person,,,4500-block of Penrose St at Dryden Ave,FALSE
-90.2328187294992,38.6445309755697,215,closed,04/06/18,complete,09/14,google maps,,,3800-block of Windsor Pl at North Spring Ave,FALSE
-90.239758041449,38.6402792856978,214,closed,04/06/18,complete,05/28/17,in-person,,,3700-block of Westminster Pl at Vandeventer Ave,FALSE
-90.2170157526574,38.6543570020845,213,closed,04/06/18,complete,05/15,google maps,,,2900-block of University St at Glasgow Ave,FALSE
-90.2625014115154,38.6625143619457,258,closed,04/06/18,complete,07/17,google maps,,,"5000-block of Wells Ave, mid-block",FALSE
-90.2537079881891,38.7053616987166,259,closed,04/06/18,complete,,google satellite,,,5900-block of Emma Ave at Park Ln,FALSE
-90.2579775438142,38.7042038351595,260,closed,04/06/18,complete,07/21/17,in-person,,,6100-block of Garesche Ave at Mimika Ave,FALSE
-90.2589967407151,38.7027818852153,262,closed,04/06/18,complete,08/17,google maps,,,6100-block of Lalite Ave at Mimika Ave,FALSE
-90.2225341529854,38.6579732973552,29,unknown,04/06/18,,07/17,google maps,,,,
-90.2039520000847,38.6557799996463,68,unknown,04/06/18,,,,,,,
-90.2203113586138,38.619051015214,77,closed,04/06/18,complete,07/17,google maps,,,2600-block of Caroline St at South Jefferson Ave,FALSE
-90.2328619945523,38.6143812140121,85,closed,04/06/18,complete,05/26/17,in-person,,,3200-block of Geyer Ave at South Compton Ave,FALSE
-90.228345752972,38.613823600064,88,closed,04/06/18,complete,05/29/17,in-person,,,2900-block of Geyer Ave at Nebraska Ave,FALSE
-90.234267067406,38.6128462410184,109,closed,04/06/18,complete,05/26/17,in-person,,,1900-block of Virginia Ave at Russell Blvd,FALSE
-90.2246112021024,38.6096508251694,110,open,04/06/18,,07/17,google maps,,,,
-90.2229439473794,38.6094518128369,111,closed,04/06/18,complete,05/29/17,in-person,,,"2600-block of Accomac St, mid-block",FALSE
-90.2279401570273,38.6100768351223,112,closed,04/06/18,complete,05/29/17,in-person,,,2830-block of Accomac St at Oregon Ave,FALSE
-90.2026413250745,38.6015314315951,116,open,04/06/18,,07/17,google maps,,,,
-90.2024320001367,38.613880000061,123,closed,04/06/18,complete,06/22/17,in-person,,,1400-block of Menard St at Park Ave,FALSE
-90.2031409995574,38.6150649998489,125,closed,04/06/18,complete,06/22/17,in-person,,,1100-block of Rutger St at South Tucker Blvd,FALSE
-90.1910829251342,38.6258411400866,126,open,04/06/18,,05/17,google maps,,,,
-90.2834682130917,38.6574195743449,241,closed,04/06/18,complete,08/11,google maps,,,5600-block of Cates Ave at Ruth C. Porter Mall,FALSE
-90.2815468905699,38.6576833737565,244,closed,04/06/18,complete,09/14,google maps,,,"841-block of Clara Ave, mid-block",FALSE
-90.2614045530187,38.6964516464864,261,closed,04/06/18,complete,07/21/17,in-person,,,5700-block of Henner Ave at Riverview Blvd,FALSE
-90.2608770000734,38.7071590001867,263,closed,04/06/18,complete,10/11,google maps,,,6300-block of Lucille Ave at the City boundary,FALSE
-90.1959218300583,38.7495067973333,8,closed,04/06/18,complete,09/12,google maps,,,"10100-block of Lookaway Dr, south of Benvenue Dr",FALSE
-90.2006979710788,38.6546259930052,60,closed,04/06/18,complete,05/17,google maps,,,1900-block of East Hebert St at Knapp St,FALSE
-90.1993463105764,38.6429109012336,105,closed,04/06/18,complete,08/17,google maps,,,"1500-block of North 17th St, mid-block",FALSE
-90.2027444802242,38.6346543830189,106,closed,04/06/18,complete,08/17,google maps,,,800-block of North 17th St at Delmar Blvd,FALSE
-90.2012881431557,38.6343523670671,107,closed,04/06/18,complete,08/17,google maps,,,800-block of North 16th St at Delmar Blvd,FALSE
-90.2503020942284,38.6180789147195,149,closed,04/06/18,complete,05/26/17,in-person,,,1700-block of Thurman Ave at Lafayette Ave,FALSE
-90.2530475659592,38.6278754744844,175,closed,04/06/18,complete,06/06/17,in-person,,,"4200-block of Gibson Ave, mid-block",FALSE
-90.2519994555393,38.638217016356,178,closed,04/06/18,complete,08/17,google maps,,,4300-block of Laclede Ave at North Boyle Ave,FALSE
-90.2588350053182,38.6396455135964,179,closed,04/06/18,complete,07/17,google maps,,,4400-block of Laclede Ave at North Taylor Ave,FALSE
-90.2608779208443,38.6372684953862,187,redeveloped,04/06/18,,,,,,,
-90.2462607919526,38.6385094406793,190,closed,04/06/18,complete,05/28/17,in-person,,,4100-block of West Pine Blvd at North Sarah St,FALSE
-90.2527571838746,38.6511672591171,199,closed,04/06/18,complete,07/17,google maps,,,4400-block of Enright Ave at North Taylor Ave,FALSE
-90.2575928798813,38.6679870681423,219,closed,04/06/18,complete,07/17,google maps,,,4900-block of Highland Ave at North Kingshighway Blvd,FALSE
-90.2545635532775,38.6722004195779,220,closed,04/06/18,complete,07/17,google maps,,,4900-block of East Labadie Ave at North Kingshighway Blvd,FALSE
-90.2589903785587,38.666336918053,221,closed,04/06/18,complete,07/17,google maps,,,4900-block of Lotus Ave at North Kingshighway Blvd,FALSE
-90.2563533097461,38.6697154404585,222,closed,04/06/18,complete,07/17,google maps,,,4900-block of Maffitt Ave at North Kingshighway Blvd,FALSE
-90.2582535671653,38.6671363561402,226,closed,04/06/18,complete,07/17,google maps,,,4900-block of Wabada Ave at North Kingshighway Blvd,FALSE
-90.2834084001795,38.6586037310902,240,closed,04/06/18,complete,09/14,google maps,,,5600-block of Cabanne Ave at Ruth C. Porter Mall,FALSE
-90.2838052317511,38.658645062947,292,closed,04/06/18,complete,09/14,google maps,,,5700-block of Cabanne Ave at Ruth C. Porter Mall,FALSE
-90.271513744996,38.657869513882,254,closed,04/06/18,complete,08/17,google maps,,,5200-block of Raymond Ave at Hodiamont Tracks,FALSE
-90.2668996112259,38.6678435606373,293,closed,04/06/18,complete,08/17,google maps,,,"5300-block of Patton Ave, mid-block",FALSE
-90.2670109936362,38.6667751265845,236,closed,04/06/18,complete,08/17,google maps,,,5300-block of Theodosia Ave at Union Blvd,FALSE
-90.252446353843,38.6518844333153,294,closed,04/06/18,complete,07/17,google maps,,,4500-block of Suburban Tracks at North Taylor Ave,FALSE
-90.2897154394089,38.6599380416953,195,closed,04/06/18,complete,07/15,google maps,,,5900-block of Hodiamont Track at Hamilton Blvd,FALSE
-90.221319386333,38.6214670688439,297,closed,04/06/18,complete,05/31/17,in-person,,,"1100-block of Ohio Ave, mid-block",FALSE
-90.2569743261433,38.653908982465,298,closed,04/06/18,complete,05/15,google maps,,,4700-block of Suburban Tracks at Walton Ave,FALSE
-90.2571886996989,38.6539751820376,299,closed,04/06/18,complete,05/15,google maps,,,4800-block of Suburban Tracks at Walton Ave,FALSE
-90.2845172996693,38.655152009935,295,closed,04/06/18,complete,07/17,google maps,,,5600-block of Enright Ave at Ruth C. Porter Mall,FALSE
-90.2838900793248,38.6550555548492,296,closed,04/06/18,complete,07/17,google maps,,,5600-block of Enright Ave at Ruth C. Porter Mall,FALSE
-90.2400186503986,38.6403992867591,300,closed,04/06/18,complete,05/28/17,in-person,,,3900-block of Westminster Pl at Vandeventer Ave,FALSE
-90.2780390491336,38.6498518272201,284,closed,04/06/18,complete,06/25/17,in-person,,,"401-block of Belt Ave, mid-block",FALSE
-90.2735186058136,38.6503955029462,301,closed,04/06/18,complete,08/17,google maps,,,5200-block of Westminster Pl at Union Blvd,FALSE
-90.2740375450671,38.6478370714742,302,closed,04/06/18,complete,08/17,google maps,,,35-block of Portland Pl at Union Blvd,FALSE
-90.2742404130709,38.6464138255623,303,closed,04/06/18,complete,08/17,google maps,,,35-block of Westmoreland Pl at Union Blvd,FALSE
-90.2642691802049,38.6467715273186,304,closed,04/06/18,complete,05/17,google maps,,,4900-block of Pershing Ave at North Kingshighway Blvd,FALSE
-90.2645151505995,38.645340605628,305,closed,04/06/18,complete,05/17,google maps,,,4900-block of Maryland Ave at North Kingshighway Blvd,FALSE
-90.2641916059785,38.6494240931173,306,closed,04/06/18,complete,05/17,google maps,,,"5000-block of Westminster Pl, mid-block",FALSE
-90.2551399106743,38.6448778643057,307,closed,04/06/18,complete,07/17,google maps,,,"4400-block of Pershing Ave, mid-block",FALSE
-90.2585066540267,38.6466507954761,308,closed,04/06/18,complete,07/17,google maps,,,"300-block of Walton Ave, mid-block",FALSE
-90.2643453541063,38.6293612028402,309,closed,04/06/18,complete,08/17,google maps,,,"4500-block of Arco Ave at South Kingshighway Blvd
",FALSE
-90.2478123523152,38.6170446153578,310,closed,04/06/18,complete,07/17,google maps,,,1700-block of Lawrence St at Detonty St,FALSE
-90.2476925054816,38.617810267451,311,closed,04/06/18,complete,06/16,google maps,,,1700-block of Lawrence St at Lafayette Ave,FALSE
-90.2429468245934,38.6137363169815,312,closed,04/06/18,partial,05/20/17,in-person,,,3800-block of Russell Blvd at South Spring Ave,FALSE
-90.2428263374446,38.614543429218,313,closed,04/06/18,partial,05/20/17,in-person,,,3800-block of Castleman Ave at South Spring Ave,FALSE
-90.249905841104,38.619989617838,314,closed,04/06/18,complete,05/26/17,in-person,,,4000-block of Blaine Ave at Thurman Ave,FALSE
-90.2639753145406,38.6311376711841,315,closed,04/06/18,partial,08/17,google maps,,,4500-block of Chouteau Ave at South Kingshighway Blvd,FALSE
-90.2641644170171,38.6302799194204,316,closed,04/06/18,complete,08/17,google maps,,,4500-block of Gibson Ave at South Kingshighway Blvd,FALSE
-90.236742177061,38.6011176468091,317,closed,04/06/18,complete,05/29/17,in-person,,,"3200-block of Hartford St, mid-block",FALSE
-90.2268508027336,38.609937357445,318,closed,04/06/18,complete,05/29/17,in-person,,,2800-block of Accomac St at California Ave,FALSE
-90.2234925234093,38.6197493602921,319,closed,04/06/18,complete,05/31/17,in-person,,,"2700-block of Caroline St, mid-block",FALSE
-90.2220990310641,38.619455784713,320,closed,04/06/18,complete,05/31/17,in-person,,,2700-block of Caroline St at Ohio Ave,FALSE
-90.2780113551366,38.6606804995085,321,closed,04/06/18,complete,07/17,google maps,,,Intersection of Chamberlain Ave and Belt Ave,FALSE
-90.2723034274547,38.6580278780748,322,closed,04/06/18,complete,08/17,google maps,,,5200-block of Hodiamont Tracks at Union Blvd,FALSE
-90.2725679569699,38.6607746771142,323,closed,04/06/18,complete,07/17,google maps,,,5300-block of Bartmer Ave at Page Blvd,FALSE
-90.256103703932,38.706814844463,324,closed,04/06/18,complete,07/21/18,in-person,,,6100-block of Emma Ave at Mimika Ave,FALSE
-90.2220465621244,38.6681827935707,325,closed,04/06/18,partial,07/17,google maps,,,"Extension of 4100-block of Warne Ave, south of Kossuth Ave",FALSE
-90.236589199153,38.6569532141761,326,closed,04/06/18,complete,07/17,google maps,,,4200-block of North Market St at Whittier St,FALSE
-90.2387172731162,38.6568438664698,327,closed,04/06/18,complete,07/17,google maps,,,4200-block of Garfield Ave at Goode Ave,FALSE
-90.2567762445638,38.6550122783426,328,closed,04/06/18,complete,05/15,google maps,,,56-block of Lewis Pl at Walton Ave,FALSE
-90.2502832346841,38.6424150066175,329,closed,04/06/18,complete,07/17,google maps,,,4300-block of Maryland Ave at North Boyle Ave,FALSE
-90.2481857264471,38.6451614667079,330,closed,04/06/18,partial,05/28/17,in-person,,,4200-block of Olive St at North Boyle Ave,FALSE
-90.2047610493129,38.6640597537945,331,closed,04/06/18,complete,07/16,google maps,,,4000-block of North 20th St at Newhouse Ave,FALSE
-90.2078304315681,38.6623645537544,332,closed,04/06/18,complete,09/14,google maps,,,3900-block of North 22nd St at Newhouse Ave,FALSE
-90.2022194475982,38.6569532988767,333,open,04/06/18,,09/14,google maps,,,,
-90.203293007337,38.6550170916967,334,closed,04/06/18,complete,07/17,google maps,,,2800-block of Rauschenbach Ave St at Hebert St,FALSE
-90.1963546413796,38.6377592294899,335,closed,04/06/18,complete,07/16,google maps,,,"1200-block of East 14th St, mid-block",FALSE
-90.1954456816571,38.6404415737567,336,closed,04/06/18,complete,08/17,google maps,,,"1400-block of East 14th St, mid-block",FALSE
-90.1947804938218,38.6386509395083,337,closed,04/06/18,complete,07/17,google maps,,,Extension of the 1300-block of O’Fallon St at North Tuker Blvd,FALSE
-90.194169674536,38.6385248401743,338,closed,04/06/18,complete,07/17,google maps,,,1100-block of O’Fallon St at North Tucker Blvd,FALSE
-90.188430537748,38.6360718995397,339,closed,04/06/18,complete,09/14,google maps,,,600-block of Biddle St at North 7th St,FALSE
-90.1867712684417,38.634577315835,340,closed,04/06/18,complete,08/17,google maps,,,500-block of Carr St at North Broadway,FALSE
-90.1829612605906,38.6379428499625,341,closed,04/06/18,complete,08/12,google maps,,,10-block of Dickson St at North 1st St,FALSE
-90.1828063729474,38.6363110308546,342,closed,04/06/18,complete,08/12,google maps,,,6-block of Ashley St at North 1st St,FALSE
-90.1832651287808,38.6405072995567,343,closed,04/06/18,complete,08/12,google maps,,,1-block of Florida St at North 1st St,FALSE
-90.1858230633961,38.6486217470208,344,closed,04/06/18,complete,08/12,google maps,,,6-block of Madison St at North 1st St,FALSE
-90.2260154375236,38.6590680186466,345,closed,04/06/18,complete,07/16,google maps,,,3800-block of Labadie Ave at Vandeventer Blvd,FALSE
-90.2853901029089,38.6641382196733,346,closed,04/06/18,complete,07/17,google maps,,,5800-block of Plymouth Ave at Goodfellow Blvd,FALSE
-90.2021318742045,38.6161181456345,347,closed,04/06/18,complete,07/16,google maps,,,"1200-block of South 11th St, mid-block",FALSE
-90.2012765785909,38.6139491130523,348,closed,04/06/18,complete,08/17,google maps,1971 and 1988,historic aerials,1318-block of South 10th St at Park Ave,TRUE
-90.2009383720873,38.6146285572378,349,closed,04/06/18,complete,06/11,google maps,1971 and 1988,historic aerials,900-block of Rutger St at South 10th St,TRUE
-90.2006282697178,38.6154332232498,350,closed,04/06/18,complete,06/17,google maps,1971 and 1988,historic aerials,900-block of Morrison St at South 10th St,FALSE
-90.2008407554504,38.6154819016764,351,closed,04/06/18,complete,06/17,google maps,1971 and 1988,historic aerials,"1000-block of Morrison St at South 10th St
",FALSE
-90.2004192183887,38.6162311617861,352,closed,04/06/18,complete,06/11,google maps,1971 and 1988,historic aerials,900-block of Hickory St at South 10th St,TRUE
-90.200765248004,38.6163161077207,353,closed,04/06/18,complete,06/11,google maps,1971 and 1988,historic aerials,1000-block of Hickory St at South 10th St,FALSE
-90.2003910431024,38.6170298487091,354,closed,04/06/18,complete,06/17,google maps,1971 and 1988,historic aerials,900-block of La Salle Park Ct at South 10th St,TRUE
-90.200696959829,38.6170937868029,355,closed,04/06/18,complete,06/17,google maps,1971 and 1988,historic aerials,1000-block of La Salle Park Ct at South 10th St,TRUE
-90.2004457063147,38.6173660645584,356,closed,04/06/18,complete,06/17,google maps,1971 and 1988,historic aerials,1100-block of South 10th St at Lebanon Dr,TRUE
-90.2004369689334,38.6173931087048,357,closed,04/06/18,complete,06/17,google maps,1996 and 1998,historic aerials,1000-block of South 10th St at Lebanon Dr,TRUE
-90.2024743191001,38.6149386366339,358,closed,04/06/18,complete,06/17,google maps,1971 and 1988,historic aerials,1000-block of Rutger St at South 11th St,TRUE
-90.1992755080364,38.6159994311874,359,closed,04/06/18,complete,06/17,google maps,,,800-block of Hickory St at South 9th St,FALSE
-90.1942399776683,38.6133231521698,360,closed,04/06/18,complete,08/17,google maps,,,200-block of Rutger St at South 3rd St,FALSE
-90.1936238869873,38.6131266051995,361,closed,04/06/18,compete,08/15,google maps,,,"200-block of Rutger St, mid-block",FALSE
-90.296307463327,38.6533060022377,362,closed,04/07/18,partial,10/11,google maps,,,Intersection of Rosedale Ave and Westminster Pl,FALSE
-90.2964582688592,38.6523951368229,363,closed,04/07/18,partial,10/11,google maps,,,Intersection of Rosedale Ave and Kingsbury Ave,FALSE
-90.2966311645802,38.6514915111197,364,closed,04/07/18,partial,10/11,google maps,,,Intersection of Rosedale Ave and McPherson Ave,FALSE
-90.250088868337,38.6282442046585,365,closed,09/21/18,partial,09/21/18,in-person,,,4021-block of Chouteau Ave at North Sarah St,FALSE
-90.2490243419191,38.6280787846484,366,closed,09/21/18,complete,09/21/18,in-person,,,4021-block of Chouteau Ave at Manchester Ave,FALSE
